#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:41+0000 #
#####################################################################
# 
#
# The columns have the following meaning: 
# time TetR[Mean] LacI[Mean] AcI[Mean] 
0.0 1.0 1.0 1.0 
1.6380421407650736 0.0 1.0 14.0 
3.0172188360378236 0.0 9.0 31.0 
4.549023458209144 0.0 20.0 36.0 
6.05595285393155 1.0 28.0 38.0 
7.505148027531343 20.0 37.0 45.0 
9.013443470860713 32.0 40.0 50.0 
10.51466232105399 42.0 48.0 59.0 
12.030963058536061 45.0 57.0 67.0 
13.566467901115262 57.0 56.0 74.0 
15.02090194961279 68.0 69.0 72.0 
16.503961718095095 68.0 78.0 72.0 
18.01371189609265 69.0 82.0 74.0 
19.55868751784794 75.0 86.0 79.0 
21.001891266465215 77.0 89.0 75.0 
22.52424535649663 76.0 85.0 65.0 
24.024286037253194 85.0 99.0 66.0 
25.551850028846005 89.0 100.0 67.0 
27.01403472294954 95.0 95.0 66.0 
28.554607468414027 94.0 100.0 66.0 
30.0046723260441 94.0 105.0 63.0 
31.53719221230759 94.0 111.0 60.0 
33.05119359131379 92.0 109.0 56.0 
34.50749813280298 93.0 114.0 66.0 
36.00030261820177 96.0 104.0 65.0 
37.508752710860264 99.0 110.0 68.0 
39.03398140769501 100.0 116.0 70.0 
40.50785629044047 99.0 115.0 65.0 
42.029252832682346 95.0 118.0 68.0 
43.52337182299703 94.0 115.0 76.0 
45.01069033643607 89.0 110.0 85.0 
46.503794164134135 87.0 120.0 84.0 
48.02574329657457 87.0 113.0 90.0 
49.50082130174266 96.0 101.0 90.0 
51.010295032397195 95.0 103.0 90.0 
52.51347193099615 103.0 106.0 96.0 
54.00799698319741 108.0 104.0 90.0 
55.579211013727466 104.0 99.0 88.0 
57.035459847305475 105.0 100.0 94.0 
58.50967470573769 99.0 104.0 101.0 
60.004942656559706 99.0 95.0 100.0 
61.501798612628384 104.0 95.0 101.0 
63.03438578154114 110.0 94.0 108.0 
64.50260002775886 105.0 92.0 110.0 
66.00407413625763 96.0 95.0 114.0 
67.53814716618261 83.0 98.0 104.0 
69.03905745160144 89.0 109.0 94.0 
70.53850580388175 97.0 119.0 90.0 
72.05641501159673 89.0 120.0 89.0 
73.50395164821408 92.0 114.0 87.0 
75.00090155318384 91.0 109.0 86.0 
76.50517233980867 89.0 113.0 88.0 
78.01934618935542 90.0 118.0 92.0 
79.51346080368394 76.0 124.0 92.0 
81.0084581787619 78.0 116.0 93.0 
82.50348000750704 80.0 107.0 113.0 
84.0141050515782 81.0 106.0 107.0 
85.50453589812388 81.0 105.0 102.0 
87.02640994762153 89.0 100.0 100.0 
88.51781615990639 101.0 95.0 104.0 
90.00336687093724 113.0 95.0 107.0 
91.50169470023543 109.0 97.0 103.0 
93.02233499896039 112.0 98.0 96.0 
94.50352035758175 107.0 96.0 99.0 
96.00940884692085 98.0 103.0 103.0 
97.53288135050815 100.0 102.0 96.0 
99.00534708139692 102.0 97.0 98.0 
100.52173157329767 100.0 99.0 95.0 
102.00863169890603 114.0 95.0 97.0 
103.51070923696388 103.0 102.0 92.0 
105.02780986168032 107.0 85.0 98.0 
106.51233243048317 96.0 82.0 99.0 
108.00956445967626 98.0 82.0 99.0 
109.51079180687947 92.0 82.0 93.0 
111.0150890245453 95.0 80.0 95.0 
112.534002971021 89.0 84.0 87.0 
114.02547615543834 98.0 84.0 90.0 
115.50720266326681 96.0 89.0 86.0 
117.00821212833449 105.0 93.0 96.0 
118.50418361482987 104.0 95.0 94.0 
120.00517651152337 114.0 93.0 100.0 
121.52586714629975 108.0 102.0 101.0 
123.03566380394246 107.0 108.0 106.0 
124.50695116828493 106.0 101.0 101.0 
126.00660534031121 112.0 90.0 98.0 
127.52830727761743 94.0 98.0 96.0 
129.02863810772484 94.0 99.0 92.0 
130.50229272479692 98.0 102.0 86.0 
132.00280787078924 84.0 97.0 75.0 
133.52776855108218 83.0 100.0 79.0 
135.0045170785375 78.0 96.0 81.0 
