#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:43+0000 #
#####################################################################
# 
#
# The columns have the following meaning: 
# time X[Mean] Y[Mean] 
0.0 1.0 0.0 
0.07377355878552413 1.0 2.0 
0.15481514902858326 1.0 3.0 
0.27732495784902805 1.0 3.0 
0.3616819371025686 1.0 4.0 
0.48982278601460383 1.0 5.0 
0.505200464582613 0.0 6.0 
0.6609659136978153 1.0 6.0 
0.7062575276435614 1.0 8.0 
0.8594524435818747 1.0 9.0 
0.9271888781982252 1.0 12.0 
0.9783762176527038 1.0 13.0 
1.0476774241029627 1.0 15.0 
1.0579631797363813 1.0 16.0 
1.1083581631774087 1.0 19.0 
1.1519287691912836 1.0 20.0 
1.2412351487305082 1.0 23.0 
1.2513078240542403 0.0 24.0 
1.3005041530554984 0.0 26.0 
1.378357053533574 1.0 27.0 
1.4439450045209892 1.0 28.0 
1.4636063143753335 0.0 29.0 
1.5151646179145772 1.0 30.0 
1.5545421680644178 0.0 33.0 
1.7736468025940701 1.0 33.0 
1.843581095568362 1.0 35.0 
1.91708908902495 1.0 36.0 
2.0458549079365747 1.0 37.0 
2.0504203752448227 0.0 38.0 
2.1253653521576186 1.0 38.0 
2.179576717325856 1.0 40.0 
2.34251086003496 1.0 41.0 
2.52875595168251 1.0 42.0 
2.6876546554513503 1.0 43.0 
2.726967305395121 1.0 44.0 
2.766246161220625 1.0 45.0 
2.823027185098139 1.0 46.0 
3.009003051934958 1.0 47.0 
3.1611090257941648 1.0 48.0 
3.2000968310182647 49.0 2.0 
3.2500800462476898 44.0 2.0 
3.300208893669981 43.0 2.0 
3.3500335156509666 39.0 5.0 
3.4001322219446286 40.0 3.0 
3.450083180980406 37.0 5.0 
3.5001362374818337 38.0 5.0 
3.5501607246289706 43.0 1.0 
3.6001450418942142 40.0 5.0 
3.6501220127558063 45.0 2.0 
3.7000382288780234 38.0 7.0 
3.750050662579001 39.0 3.0 
3.8001612863950296 40.0 2.0 
3.8501507392473995 39.0 0.0 
3.900076706411006 35.0 5.0 
3.950200767657949 39.0 1.0 
4.000331506197639 36.0 1.0 
4.050194626159087 28.0 8.0 
4.100225299950535 27.0 6.0 
4.150104251912246 30.0 4.0 
4.200189535767848 29.0 3.0 
4.2500513109806715 25.0 7.0 
4.3000850334245255 24.0 8.0 
4.350081106473539 29.0 3.0 
4.400415365259678 27.0 5.0 
4.450203149803015 17.0 12.0 
4.5001175557891235 24.0 6.0 
4.550231002701406 29.0 1.0 
4.600109417681274 28.0 2.0 
4.650049582936717 29.0 2.0 
4.700392878867291 21.0 10.0 
4.750245788356018 27.0 2.0 
4.8005464277284124 20.0 7.0 
4.851225658359141 10.0 16.0 
4.90004867323464 19.0 6.0 
4.950146985325212 18.0 7.0 
5.000240007049691 17.0 7.0 
5.050661483685639 7.0 15.0 
5.1071502189974725 0.0 23.0 
5.248652046836542 1.0 23.0 
