#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:26+0000 #
#####################################################################
# rsc = 0.0, rsm = 2.0
#
# The columns have the following meaning: 
# time X[Mean] Y[Mean] 
0.0 1.0 0.0 
1.500720846787681 1.0 33.0 
3.0000247308528296 39.0 1.0 
4.500062670458764 29.0 3.0 
6.000913058121757 1.0 37.0 
7.583546338608951 1.0 66.0 
9.000026129764382 38.0 3.0 
10.500346363299364 13.0 14.0 
12.076987650245211 1.0 26.0 
13.50024841462403 19.0 8.0 
15.000000747572333 14.0 39.0 
16.50013453055208 29.0 4.0 
18.000000442874185 26.0 5.0 
19.5000662249529 31.0 2.0 
21.000089464908847 27.0 1.0 
22.66080768500513 1.0 49.0 
24.00018788540359 23.0 5.0 
25.690432745877516 1.0 40.0 
27.188819553089058 1.0 68.0 
28.500057531240696 97.0 2.0 
30.0000781228775 48.0 0.0 
31.50011216183616 31.0 2.0 
33.00223730486196 7.0 18.0 
34.50352808946433 0.0 32.0 
36.06907512823913 1.0 74.0 
37.50000263636725 42.0 2.0 
39.000026027596945 24.0 1.0 
40.50934204831395 1.0 41.0 
42.00219157350045 1.0 66.0 
43.50003849781931 30.0 3.0 
45.00052104632838 9.0 13.0 
46.502786230030715 0.0 49.0 
48.00000744069499 26.0 1.0 
49.50013476613416 28.0 2.0 
51.000330816643306 1.0 34.0 
52.58041638017655 1.0 70.0 
54.00034620389414 35.0 2.0 
55.501272247297706 1.0 42.0 
57.00014059398435 32.0 3.0 
58.500039779444585 16.0 10.0 
60.000522188529786 14.0 11.0 
61.500086748366044 22.0 7.0 
63.05554481477294 1.0 31.0 
64.50006731525059 55.0 2.0 
66.00025645270719 23.0 5.0 
67.59331100787654 1.0 37.0 
69.01634214214951 1.0 62.0 
70.51469104099625 1.0 87.0 
72.00013331758021 74.0 1.0 
73.50019436637251 35.0 3.0 
75.00139705842486 1.0 51.0 
76.50013734425652 26.0 6.0 
78.00014925679882 21.0 7.0 
79.50062178361142 33.0 0.0 
81.00038737703126 20.0 8.0 
82.50005256633096 3.0 54.0 
84.00026064180967 67.0 2.0 
85.50018495397823 31.0 3.0 
87.00017685330918 31.0 2.0 
88.50330609873356 0.0 39.0 
90.00061710819926 21.0 6.0 
91.62194026032292 1.0 53.0 
93.00007207041102 64.0 2.0 
94.50020106639957 28.0 2.0 
96.00078986744073 26.0 6.0 
97.5000982360945 17.0 9.0 
99.02956286259628 1.0 41.0 
100.50033222129369 29.0 5.0 
102.00018037013928 37.0 2.0 
103.51848890510506 0.0 43.0 
105.0002588766816 56.0 2.0 
106.54435858361636 1.0 24.0 
108.00004969996296 1.0 60.0 
109.58696546032482 1.0 82.0 
111.00006367147 89.0 2.0 
112.50000651500153 41.0 2.0 
114.00036064861834 21.0 5.0 
115.50038596925559 19.0 5.0 
117.00087065987711 1.0 44.0 
118.50012813409053 52.0 0.0 
120.05335669598311 1.0 21.0 
121.50003888088484 31.0 3.0 
123.02408976158704 1.0 29.0 
124.56753476826555 1.0 30.0 
126.1154564175647 1.0 56.0 
127.58576159753228 1.0 85.0 
129.00005542433647 51.0 3.0 
130.50014931069097 19.0 9.0 
132.00010199097744 22.0 3.0 
133.566725958322 1.0 39.0 
135.0009792872943 1.0 65.0 
136.5000242651166 63.0 3.0 
138.0001980343667 34.0 2.0 
139.50407516254742 1.0 28.0 
141.01128903849127 0.0 54.0 
142.50810258077198 0.0 78.0 
144.03633846021643 1.0 107.0 
145.50002470014007 35.0 4.0 
147.00028035385014 23.0 2.0 
148.66562689863508 1.0 31.0 
150.0577099913746 1.0 58.0 
151.50938209344457 2.0 89.0 
153.00005944673308 40.0 7.0 
154.50700258513842 0.0 26.0 
156.0001435448297 45.0 4.0 
157.5000111334013 25.0 3.0 
159.00014115943452 28.0 5.0 
160.50061225296525 23.0 5.0 
162.03321629864158 1.0 43.0 
163.5185684717852 1.0 82.0 
165.0497638675818 1.0 109.0 
166.50000782684245 87.0 3.0 
168.00007149630565 33.0 5.0 
169.53295435387017 1.0 36.0 
171.0002962011711 52.0 1.0 
172.500118089508 26.0 9.0 
174.00104432230913 1.0 21.0 
175.67329110621716 1.0 52.0 
177.0002741509143 34.0 3.0 
178.500081032261 33.0 1.0 
180.00027465156754 13.0 11.0 
181.5000222640617 25.0 2.0 
183.00851685049366 1.0 50.0 
184.50044538166262 24.0 5.0 
186.00002432422525 31.0 6.0 
187.5090623801737 1.0 29.0 
189.0003430142979 38.0 2.0 
190.55904898534757 1.0 22.0 
192.0000364096681 58.0 1.0 
193.5003285091358 19.0 7.0 
195.00000952300184 19.0 7.0 
196.6510362338495 1.0 37.0 
198.00196459153875 1.0 61.0 
199.50001328385525 35.0 1.0 
201.0004507559863 23.0 5.0 
202.50157740499276 1.0 34.0 
204.0225781880379 0.0 62.0 
205.50004174457968 30.0 5.0 
207.00017703500865 23.0 5.0 
208.59355916082353 1.0 44.0 
210.0000583161725 60.0 3.0 
211.5002910710761 44.0 1.0 
213.00007206290772 26.0 1.0 
214.53484410917517 1.0 37.0 
216.00016628798497 20.0 5.0 
217.52085865188553 1.0 40.0 
219.00004066052034 6.0 62.0 
220.56451530744147 1.0 100.0 
222.00006803616208 57.0 2.0 
223.50004036463983 25.0 7.0 
225.06597184759858 1.0 33.0 
226.50000486067995 35.0 5.0 
228.00002879665146 19.0 8.0 
229.54441813902667 1.0 38.0 
231.0000265377901 50.0 2.0 
232.50005148643322 34.0 3.0 
234.0337509083975 1.0 34.0 
235.50003611002862 64.0 3.0 
237.00021457240476 26.0 4.0 
238.50050116189684 28.0 3.0 
240.01354085056613 0.0 25.0 
241.51179114156747 1.0 52.0 
243.00011908437503 28.0 3.0 
244.50031372704973 24.0 5.0 
246.0314550355869 1.0 37.0 
247.50018035814722 53.0 0.0 
249.00035942232014 13.0 13.0 
250.5000117682277 48.0 4.0 
252.00023012879717 22.0 6.0 
253.52476973700325 1.0 38.0 
255.02522156094682 1.0 73.0 
256.50016216225555 29.0 6.0 
258.000051773768 18.0 9.0 
259.50393721461484 1.0 31.0 
261.00007807103776 29.0 9.0 
262.5001328669638 36.0 2.0 
264.0001956838704 25.0 3.0 
265.5000198724592 22.0 8.0 
267.02923387063265 1.0 33.0 
268.636869710767 1.0 60.0 
270.00000692955155 63.0 4.0 
271.5000290689665 48.0 3.0 
273.0345975759622 1.0 22.0 
274.5201004803172 1.0 57.0 
276.0001100740464 33.0 4.0 
277.5062676787814 1.0 25.0 
279.0334582112994 1.0 56.0 
280.50000560201994 53.0 2.0 
282.0000188329216 34.0 5.0 
283.50010227477065 24.0 4.0 
285.00003790738947 23.0 6.0 
286.54826823695794 1.0 47.0 
288.0466171305852 1.0 78.0 
289.50000831846506 40.0 3.0 
291.0000793643834 24.0 7.0 
292.5001488088634 29.0 1.0 
294.08017022253244 1.0 28.0 
295.50003077032915 28.0 4.0 
297.00036976391186 24.0 3.0 
298.5094889380219 1.0 38.0 
300.04163305739695 1.0 67.0 
301.5000120159451 61.0 2.0 
303.00029960094736 33.0 4.0 
304.50023395114573 34.0 1.0 
306.0073398756838 0.0 31.0 
307.5212650434578 1.0 65.0 
309.0000020119494 47.0 4.0 
310.5001994875517 23.0 4.0 
312.0001213089391 27.0 5.0 
313.50015739269304 25.0 3.0 
315.0173420897245 1.0 22.0 
316.62938516057284 1.0 60.0 
318.00022878618256 36.0 2.0 
319.50003553821296 16.0 7.0 
321.00027409741654 26.0 7.0 
322.5002500189747 20.0 6.0 
324.000167625528 17.0 10.0 
325.52298077916305 1.0 51.0 
327.0845981109867 1.0 80.0 
328.511964690344 0.0 101.0 
330.0000004189258 75.0 4.0 
331.500866351658 33.0 2.0 
333.0000400499402 34.0 1.0 
334.50028538749274 28.0 4.0 
336.0000251442001 20.0 7.0 
337.5218087616607 1.0 36.0 
339.0730814977244 1.0 63.0 
340.5062313720684 0.0 86.0 
342.00014082028906 42.0 1.0 
343.5000229880253 26.0 4.0 
345.00018720333384 25.0 2.0 
346.5000420432173 28.0 4.0 
348.0001345927528 28.0 5.0 
349.6124514264257 1.0 21.0 
351.03800401596476 1.0 52.0 
352.5000175034567 32.0 6.0 
354.00041243191106 16.0 8.0 
355.5014707678129 1.0 42.0 
357.000018757386 30.0 5.0 
358.5107179952502 1.0 24.0 
360.00000381541037 47.0 5.0 
361.5003065128727 24.0 5.0 
363.0003224027663 14.0 8.0 
364.61279435766926 1.0 55.0 
366.0000135536701 28.0 7.0 
367.50037381794357 31.0 0.0 
369.00008668666493 11.0 10.0 
370.55811234317207 1.0 49.0 
372.0000076666303 69.0 1.0 
373.5003147332248 29.0 4.0 
375.00035603637383 28.0 1.0 
376.50000012781965 38.0 2.0 
378.16927130188145 1.0 24.0 
379.50273177134136 0.0 52.0 
381.0080694494474 1.0 79.0 
382.52203739963625 1.0 103.0 
384.00001165981854 86.0 2.0 
385.50005668445647 42.0 2.0 
387.0000613149828 28.0 7.0 
388.50006851421904 15.0 8.0 
390.0125505016022 1.0 45.0 
391.5000157552424 39.0 3.0 
393.00012575314844 28.0 1.0 
394.51634836207404 1.0 47.0 
396.00031638143906 32.0 2.0 
397.5389137298023 1.0 38.0 
399.0000244308494 49.0 3.0 
400.50038849320066 19.0 7.0 
402.02295719126795 1.0 41.0 
403.50010798822075 24.0 7.0 
405.0359895759176 1.0 32.0 
406.50033020670224 62.0 1.0 
408.0000426122242 26.0 5.0 
409.5217518066766 1.0 38.0 
411.00005371113355 30.0 4.0 
412.5008971617717 22.0 6.0 
414.00015924057743 28.0 3.0 
415.5284527937988 1.0 26.0 
417.0006130391312 21.0 9.0 
418.5001176664288 29.0 1.0 
420.29911509959817 1.0 41.0 
421.50010129279997 46.0 2.0 
423.0002130336016 29.0 6.0 
424.50007213496 14.0 11.0 
426.11215751100895 1.0 44.0 
427.50006005147077 38.0 6.0 
429.00025452361996 24.0 3.0 
430.5824928169497 1.0 40.0 
432.02225870736316 1.0 62.0 
433.5001265977434 42.0 1.0 
435.0277228822048 1.0 26.0 
436.5282910433445 1.0 58.0 
438.0000642869782 40.0 4.0 
439.5003460077674 20.0 5.0 
441.019774219795 1.0 51.0 
442.500025611363 28.0 4.0 
444.0371502152979 1.0 35.0 
445.50040682319286 27.0 3.0 
447.0001180396405 32.0 3.0 
448.5000242342824 28.0 4.0 
450.0001101389033 22.0 5.0 
451.50005069686324 15.0 8.0 
453.00882619729236 0.0 34.0 
454.5175237157012 1.0 57.0 
456.00003679468887 36.0 3.0 
457.5004934847323 30.0 3.0 
459.00073559481996 12.0 11.0 
460.56916928284323 1.0 52.0 
462.0001601470478 47.0 2.0 
463.5001749829463 14.0 15.0 
465.028779534171 1.0 41.0 
466.5000291795582 45.0 3.0 
468.0007653404375 21.0 3.0 
469.5138907501013 0.0 42.0 
471.00005949956574 24.0 2.0 
472.50004679084293 26.0 6.0 
474.000390737082 26.0 3.0 
475.5002068437245 25.0 6.0 
477.000051071558 27.0 3.0 
478.50000108583976 28.0 2.0 
480.015750579927 0.0 25.0 
481.50034972677696 23.0 6.0 
483.0002960145808 21.0 3.0 
484.50009689982204 40.0 1.0 
486.00007148997906 27.0 0.0 
487.5158580789025 1.0 45.0 
489.00000901065533 27.0 4.0 
490.5536448598605 1.0 36.0 
492.0375611052599 1.0 57.0 
493.5000284224358 36.0 5.0 
495.00021796502335 27.0 1.0 
496.74233089225953 1.0 49.0 
498.0000702281937 35.0 1.0 
499.5000530581439 27.0 6.0 
501.00025418846076 23.0 8.0 
502.50013240240077 22.0 4.0 
504.0690525411969 1.0 37.0 
505.5000564018623 32.0 3.0 
507.0002186593554 23.0 5.0 
508.50086305950396 0.0 35.0 
510.0024733405798 0.0 69.0 
511.5001134189075 32.0 6.0 
513.000143473614 23.0 6.0 
514.5001603829128 21.0 7.0 
516.0006382318096 1.0 38.0 
517.5207666121142 1.0 67.0 
519.000005198566 34.0 4.0 
520.5890662768225 1.0 35.0 
522.0436912479364 1.0 73.0 
523.5001088855413 40.0 2.0 
525.0005297454788 30.0 0.0 
526.500026005423 26.0 4.0 
528.0001286857696 19.0 5.0 
529.5171390625195 1.0 47.0 
531.0001116213639 41.0 1.0 
532.500185836491 24.0 10.0 
534.0000942338835 28.0 1.0 
535.5117678788545 1.0 39.0 
537.1307461909681 1.0 76.0 
538.5000856504508 37.0 6.0 
540.0001618098162 30.0 3.0 
541.5000858936669 31.0 3.0 
543.0000596142575 25.0 6.0 
544.5001652416087 20.0 8.0 
546.0000332584233 42.0 6.0 
547.5748661685158 1.0 27.0 
549.0000859978026 42.0 3.0 
550.5002273286987 22.0 4.0 
552.0003136669998 21.0 6.0 
553.6344645982737 1.0 37.0 
555.0000604089361 21.0 9.0 
556.549848875465 1.0 42.0 
558.0002139497186 31.0 2.0 
559.5534377704439 1.0 31.0 
561.0000234082687 32.0 5.0 
